Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2024-02-02,0,-2606,-4133,-4881,-4413,-2689,1100,6450,13005,14059,12343,8654,3358,4957,5606,6479,8411,9526,9575,8467,6331,4198,3952,3621
2024-02-03,0,-2618,-4177,-5264,-5636,-5088,-3519,-2261,-404,419,651,-607,-2977,-2354,-1974,-1218,-671,-58,834,175,-969,-2059,-1785,-2069
2024-02-04,0,-2649,-4237,-4811,-4863,-4049,-3101,-2261,-2311,-4128,-5327,-7407,-7899,-6488,-4616,-2351,-389,2150,4057,3653,2802,1767,1462,1084
2024-02-05,0,-2302,-3370,-3780,-2914,-704,3534,10193,19095,23141,23781,22249,19152,21474,21960,21941,22172,20886,19671,17892,15178,12746,12263,11446
2024-02-06,0,-2532,-4036,-4745,-4237,-2515,1224,6752,14474,17315,17171,15421,11369,13646,14317,14111,14118,13137,12284,10736,7929,5469,5095,4659
2024-02-07,0,-2375,-4391,-5278,-5016,-3345,305,5589,11562,10980,8410,5372,1955,5160,6547,7576,9078,9394,9476,8645,6259,4104,3661,3248
2024-02-08,0,-2665,-4248,-4887,-4479,-2875,675,5777,10482,8523,4779,1052,-3786,-3104,-3316,-3187,-1796,241,2055,1927,876,-788,-495,-969
2024-02-09,0,-2883,-4924,-6085,-6444,-6109,-5637,-5858,-8074,-12363,-15242,-17446,-18471,-18510,-17638,-15425,-11669,-7065,-4093,-3755,-4145,-4698,-4713,-4459
2024-02-10,0,-2306,-3656,-4381,-4340,-3611,-2420,-1815,-4233,-9637,-13557,-15826,-16403,-15149,-13726,-11616,-8128,-3685,-567,2,206,204,897,1518
2024-02-11,0,-2138,-3475,-4180,-4113,-3386,-2478,-1981,-3284,-6502,-8100,-9276,-9200,-9301,-9250,-7241,-3830,391,3437,3679,3205,2489,2733,2972
2024-02-12,0,-2234,-3603,-4193,-3980,-3032,-1751,-631,-1636,-5662,-8155,-10146,-11923,-11842,-10627,-8080,-3587,1506,5282,5871,5413,4344,4136,3703
2024-02-13,0,-2332,-3544,-4027,-3323,-1231,2966,9139,15470,14999,11936,8627,4578,6268,7045,8385,11235,13296,14418,14004,11856,9887,9522,8763
2024-02-14,0,-2325,-3777,-4470,-4029,-2305,1184,6132,12680,14605,13427,10963,6926,8153,7493,7475,8593,9414,10287,9663,7626,5649,5219,4110
2024-02-15,0,-2528,-3822,-4442,-4144,-2528,849,5403,11443,13847,14624,14880,13251,16890,17220,15455,14212,14286,14299,13095,10614,8226,7856,7196
2024-02-16,0,-2440,-3825,-4482,-3921,-2152,1388,6261,10995,9117,5810,2627,-2040,-373,311,1519,4318,6672,7878,7710,5993,3923,3705,3121
2024-02-17,0,-2568,-3936,-4805,-4509,-3650,-2192,-1212,-2002,-5001,-7489,-10851,-14417,-14182,-13407,-11524,-8001,-3958,-923,-276,-911,-1822,-1551,-1742
2024-02-18,0,-2258,-3592,-4363,-4135,-3196,-2204,-1857,-2749,-3656,-3747,-3415,-2434,-964,-507,90,969,2529,3866,3890,2834,1735,1178,467
2024-02-19,0,-2444,-3818,-4362,-3724,-1583,2670,8484,16243,19456,19936,18359,15258,17610,18076,17845,18147,17078,16240,15182,12639,10520,10641,9507
2024-02-20,0,-2440,-3709,-4193,-3657,-1938,1788,6823,13835,16663,17205,16706,14145,17244,17500,16836,16173,14107,12932,11392,8892,6529,6181,5149
2024-02-21,0,-2521,-3777,-4429,-3922,-2257,1300,6204,13785,16909,18023,17683,14873,17790,17933,17580,16833,14470,12869,11467,9082,6813,6778,6034
2024-02-22,0,-2608,-3961,-4608,-4248,-2630,921,5955,13041,16895,18228,17717,14318,16386,16574,16351,16078,14069,12751,11122,8217,5686,5278,4394
2024-02-23,0,-2549,-4110,-4977,-4642,-3045,237,5421,12490,14693,13318,10493,6569,8974,9902,10293,10259,8937,8512,7498,5075,3136,2833,2253
2024-02-24,0,-2444,-4098,-4926,-4793,-4055,-2702,-1601,-626,-945,-1557,-3898,-5659,-4603,-3066,-1616,-821,-128,1062,848,-108,-1089,-701,-1004
2024-02-25,0,-2278,-3956,-4935,-4846,-4320,-3414,-2922,-2384,-2127,-2095,-3414,-4389,-4120,-3894,-3243,-1959,249,2719,3024,2230,1435,1138,897
2024-02-26,0,-2131,-3246,-3595,-2894,-943,3567,9835,15965,15407,12513,8954,5616,8812,10616,11876,13625,14726,15787,15190,12758,10540,10268,9493
2024-02-27,0,-2316,-3729,-4440,-3886,-2118,1551,6354,11415,11172,8847,6158,2663,4831,5344,5932,7535,8599,9705,9428,6869,4643,4289,3375
2024-02-28,0,-2383,-3891,-4366,-3869,-2168,1472,6103,10459,9957,7197,3961,-280,2412,4137,5648,7181,8079,8954,8646,6586,4525,4035,3292
2024-02-29,0,-2270,-3574,-4213,-3779,-2201,1080,5691,12370,15124,15682,14414,11199,13250,13187,11881,11170,9954,9737,9130,7028,5296,5772,5751
