Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2022-01-01,67369,64791,63116,62005,61781,62099,62874,63072,61866,58177,57002,55157,53602,53782,55109,57982,61805,65250,66718,66255,65531,64572,64727,65287
2022-01-02,62823,60652,59148,58322,58387,59084,60067,60850,61244,60194,60530,59260,57185,56112,56737,58930,62695,66544,68173,67980,67053,65748,65835,66325
2022-01-03,63902,61885,60851,60537,61346,63721,67966,75103,83877,84909,83022,80335,75978,78440,79968,82170,85196,84436,81811,78883,76496,73304,71804,72760
2022-01-04,69568,67227,65792,65504,66040,67806,71370,77225,85161,85043,82677,79267,74546,77144,78434,80878,84781,84925,83033,80521,77956,74694,72899,73776
2022-01-05,70462,68272,66980,66721,67107,68763,72298,78159,86744,89397,88785,86954,82598,85248,86536,86807,87522,85040,82405,79518,77025,73633,71823,72842
2022-01-06,69852,67823,66582,66051,66650,68273,71667,77498,84761,83898,81135,77692,73094,75557,77035,79427,83183,83463,82065,79817,77339,74208,72761,73764
2022-01-07,70521,68345,67177,66647,67183,68711,72132,78156,85425,84529,81673,78100,73217,75457,76653,78652,82024,81763,80045,77746,75799,73040,71678,72767
2022-01-08,69617,67374,66024,65304,65273,66050,67539,69148,70793,68532,67129,65078,62400,63252,64356,66314,68581,69384,69822,68952,67901,66258,65807,66879
2022-01-09,63896,61436,59902,59353,59475,60179,61084,61705,62222,61227,60624,59203,58094,58384,58818,60252,63097,66252,67889,67721,66990,65846,65884,66079
2022-01-10,63493,61435,60310,60149,60973,63199,67382,74341,83533,85301,82947,79816,75121,78253,79903,81458,83904,82937,80812,78078,75549,72621,71005,71966
2022-01-11,68787,66583,65508,65245,65971,67959,71582,77462,86085,88000,86258,83093,78471,81055,82697,84614,88103,88027,86026,83329,80346,76672,74743,75784
2022-01-12,72491,70447,69339,68855,69320,70935,74575,80364,88267,88365,85792,82797,78721,81333,82634,84375,87652,87119,84964,82412,79870,76070,74319,75443
2022-01-13,72285,70102,68768,68289,68828,70260,73447,79165,87577,88821,86837,84368,80021,82490,83978,85740,89115,88739,86695,83658,80743,76867,75140,76141
2022-01-14,73008,70813,69564,68972,69421,70763,74037,79813,87278,86731,84296,80848,76055,77863,78916,81170,84675,84183,82397,79968,77740,74466,72977,73885
