Date,Open
2020-01-02,13.460000038146973
2020-01-03,15.010000228881836
2020-01-06,15.449999809265137
2020-01-07,13.84000015258789
2020-01-08,15.15999984741211
2020-01-09,12.949999809265137
2020-01-10,12.420000076293945
2020-01-13,12.84000015258789
2020-01-14,12.720000267028809
2020-01-15,12.789999961853027
2020-01-16,12.199999809265137
2020-01-17,12.210000038146973
2020-01-21,13.229999542236328
2020-01-22,12.449999809265137
2020-01-23,13.260000228881836
2020-01-24,12.75
2020-01-27,17.420000076293945
2020-01-28,16.940000534057617
2020-01-29,15.680000305175781
2020-01-30,17.81999969482422
2020-01-31,16.25
2020-02-03,18.639999389648438
2020-02-04,16.450000762939453
2020-02-05,16.290000915527344
2020-02-06,15.130000114440918
2020-02-07,15.069999694824219
2020-02-10,15.880000114440918
2020-02-11,14.90999984741211
2020-02-12,14.859999656677246
2020-02-13,14.430000305175781
2020-02-14,14.119999885559082
2020-02-18,14.979999542236328
2020-02-19,14.65999984741211
2020-02-20,14.539999961853027
2020-02-21,17.329999923706055
2020-02-24,22.25
2020-02-25,22.190000534057617
2020-02-26,26.6299991607666
2020-02-27,28.950000762939453
2020-02-28,42.02000045776367
2020-03-02,38.540000915527344
2020-03-03,33.650001525878906
2020-03-04,34.439998626708984
2020-03-05,33.61000061035156
2020-03-06,48.93000030517578
2020-03-09,41.939998626708984
2020-03-10,49.68000030517578
2020-03-11,52.2400016784668
2020-03-12,61.459999084472656
2020-03-13,71.30999755859375
2020-03-16,57.83000183105469
2020-03-17,82.69000244140625
2020-03-18,69.37000274658203
2020-03-19,80.62000274658203
2020-03-20,67.86000061035156
2020-03-23,74.08000183105469
2020-03-24,58.7599983215332
2020-03-25,61.439998626708984
2020-03-26,65.66999816894531
2020-03-27,64.94999694824219
2020-03-30,66.30000305175781
2020-03-31,56.689998626708984
2020-04-01,57.380001068115234
2020-04-02,54.459999084472656
2020-04-03,51.11000061035156
2020-04-06,44.16999816894531
2020-04-07,44.83000183105469
2020-04-08,45.900001525878906
2020-04-09,43.0
2020-04-13,44.599998474121094
2020-04-14,40.2400016784668
2020-04-15,42.56999969482422
2020-04-16,41.91999816894531
2020-04-17,39.5
2020-04-20,40.68000030517578
2020-04-21,44.279998779296875
2020-04-22,44.90999984741211
2020-04-23,41.29999923706055
2020-04-24,38.79999923706055
2020-04-27,36.290000915527344
2020-04-28,33.209999084472656
2020-04-29,32.47999954223633
2020-04-30,30.989999771118164
2020-05-01,38.16999816894531
2020-05-04,39.130001068115234
2020-05-05,34.81999969482422
2020-05-06,32.689998626708984
2020-05-07,32.119998931884766
2020-05-08,30.139999389648438
2020-05-11,28.459999084472656
2020-05-12,28.469999313354492
2020-05-13,32.7400016784668
2020-05-14,35.15999984741211
2020-05-15,32.5
2020-05-18,30.709999084472656
2020-05-19,28.729999542236328
2020-05-20,29.520000457763672
2020-05-21,28.969999313354492
2020-05-22,31.360000610351562
2020-05-26,27.719999313354492
2020-05-27,27.6200008392334
2020-05-28,27.81999969482422
2020-05-29,29.299999237060547
2020-06-01,28.940000534057617
2020-06-02,28.399999618530273
2020-06-03,26.75
2020-06-04,26.229999542236328
2020-06-05,24.790000915527344
2020-06-08,25.559999465942383
2020-06-09,25.93000030517578
2020-06-10,26.729999542236328
2020-06-11,30.450000762939453
2020-06-12,37.68000030517578
2020-06-15,44.09000015258789
2020-06-16,34.279998779296875
2020-06-17,33.279998779296875
2020-06-18,33.83000183105469
2020-06-19,32.06999969482422
2020-06-22,35.220001220703125
2020-06-23,31.709999084472656
2020-06-24,31.049999237060547
2020-06-25,36.59000015258789
2020-06-26,33.0099983215332
2020-06-29,35.04999923706055
2020-06-30,32.540000915527344
2020-07-01,30.959999084472656
2020-07-02,28.329999923706055
2020-07-06,27.760000228881836
2020-07-07,28.770000457763672
2020-07-08,28.950000762939453
2020-07-09,28.18000030517578
2020-07-10,30.860000610351562
2020-07-13,27.850000381469727
2020-07-14,31.139999389648438
2020-07-15,29.149999618530273
2020-07-16,28.40999984741211
2020-07-17,27.149999618530273
2020-07-20,26.940000534057617
2020-07-21,24.079999923706055
2020-07-22,24.559999465942383
2020-07-23,23.969999313354492
2020-07-24,27.959999084472656
2020-07-27,26.600000381469727
2020-07-28,24.860000610351562
2020-07-29,25.15999984741211
2020-07-30,25.040000915527344
2020-07-31,24.790000915527344
2020-08-03,25.75
